alternative_id,check_id,horizon,baseline_estimate,alternative_estimate,estimate_delta,baseline_standard_error,alternative_standard_error,baseline_nobs,alternative_nobs
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,4,-0.0736382750717699,-0.10819141728166959,-0.03455314220989969,0.20019531882191136,0.2202136798742277,84,80
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,5,-0.228028544839038,-0.26370172841926154,-0.03567318358022353,0.2741903915745273,0.29835297342348055,83,79
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,6,-0.3743143784222882,-0.4263644140891223,-0.05205003566683408,0.315926425274495,0.3327391824092527,82,78
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,7,-0.36073642672522976,-0.4083382028537539,-0.04760177612852412,0.37204592313135926,0.3990134823943534,81,77
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,8,-0.4728469298278788,-0.5307663161060572,-0.057919386278178386,0.45459498943419524,0.49045057898112887,80,76
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,9,-0.633574462499146,-0.7154584459693787,-0.08188398347023274,0.5331970962288147,0.5619275006823378,79,75
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,10,-0.9177320970198553,-0.9730550881868321,-0.05532299116697681,0.5288314146495513,0.5768734857656331,78,74
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,11,-1.0268993286290757,-1.0870693583159032,-0.0601700296868275,0.5877216549578701,0.640949459253947,77,73
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,12,-1.2707114677946487,-1.334965754315735,-0.06425428652108622,0.6357759137437142,0.6804798118311438,76,72
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,13,-1.5787427864398458,-1.636702497145392,-0.057959710705546286,0.8127718520565138,0.8529722333613885,75,71
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,14,-1.7528880904816537,-1.8029355604437223,-0.05004746996206855,0.9074788778252456,0.9526109808121126,74,70
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,15,-1.9211579401840044,-1.988544787770594,-0.06738684758658953,0.941722407804948,0.9869262646320558,73,69
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,16,-1.9506905899743934,-1.9807927753317096,-0.030102185357316236,0.9374466533394901,0.9574968754705344,72,68
ra-alt-4ac79a1a6ebcf54b54441e27454cef89,ra-check-bc473607aa39a18e94dfdbf98833cdc5,17,-2.019083762751703,-2.0379251547977058,-0.01884139204600288,0.9307194048356139,0.9549543332137485,71,67
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,0,0.03926033726243894,-0.004860910306480448,-0.044121247568919386,0.056984108791936015,0.05132566046237682,88,84
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,1,0.08884441550919353,0.023102595817421245,-0.06574181969177229,0.1173044350317145,0.13262718431457937,87,83
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,2,-0.02728807154893864,-0.05075835964012365,-0.02347028809118501,0.13744670035635603,0.14581490530382393,86,82
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,3,-0.06389949799356032,-0.060275785506597845,0.0036237124869624715,0.16012269767889292,0.17619312818479677,85,81
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,4,-0.0736382750717699,-0.057969324942348854,0.015668950129421044,0.20019531882191136,0.22271196093642187,84,80
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,5,-0.228028544839038,-0.17195678781506962,0.05607175702396838,0.2741903915745273,0.3020754967153017,83,79
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,6,-0.3743143784222882,-0.3233725769865481,0.05094180143574012,0.315926425274495,0.344974197691041,82,78
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,7,-0.36073642672522976,-0.39947287798044107,-0.0387364512552113,0.37204592313135926,0.40314504393610895,81,77
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,8,-0.4728469298278788,-0.4915208470082195,-0.018673917180340727,0.45459498943419524,0.46554859882336336,80,76
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,9,-0.633574462499146,-0.7376595405262729,-0.10408507802712696,0.5331970962288147,0.6055584883179084,79,75
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,10,-0.9177320970198553,-1.0464240512927234,-0.12869195427286817,0.5288314146495513,0.657989326002178,78,74
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,11,-1.0268993286290757,-1.132278311490507,-0.10537898286143133,0.5877216549578701,0.6980714244150703,77,73
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,12,-1.2707114677946487,-1.3011012961734088,-0.03038982837876003,0.6357759137437142,0.6992288507446125,76,72
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,13,-1.5787427864398458,-1.2915206173397153,0.28722216910013043,0.8127718520565138,0.7080591223054937,75,71
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,14,-1.7528880904816537,-1.1986215683788974,0.5542665221027563,0.9074788778252456,0.6711610497503292,74,70
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,15,-1.9211579401840044,-1.2671846226476093,0.6539733175363951,0.941722407804948,0.6892287099738896,73,69
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,16,-1.9506905899743934,-1.438478076181728,0.5122125137926654,0.9374466533394901,0.7890551560460923,72,68
ra-alt-ceb642a657cd2fdbd53606433880f7b9,ra-check-bc473607aa39a18e94dfdbf98833cdc5,17,-2.019083762751703,-1.5248504904816542,0.49423327227004865,0.9307194048356139,0.7674415071587786,71,67
